name,source,family,expr,sign,nodes,zoo_overlap,ic_mean,pearson_ic,ic_t,ls_sharpe_ann,dsr,later_ic_mean,status
rnd_007,random,volatility,"($close-Mean($close,60))/(Std($close,60)+1e-12)",-1,11,3,0.01711633875828829,-0.0008717079823124616,1.780358841212566,-0.17970578372478485,1.9086017242848967e-05,0.017440698553874836,rejected
rnd_008,random,range,"Mean((($high-$low)/$close),60)/(Mean((($high-$low)/$close),5)+1e-12)-1",1,19,3,0.0018593165868527107,-0.011920146659576684,1.024014576190178,-0.3444497287273407,2.48605701716357e-06,0.005835584747335974,rejected
rnd_010,random,range,"Sum((($high-$low)/$close),5)/(Sum((($high-$low)/$close),20)+1e-12)-1",1,19,3,0.0026882437650718027,0.002942119601783761,-0.6274322548508798,0.21360398828983307,0.001481307964720759,0.003570050379352737,rejected
rnd_013,random,volatility,"($high-Mean($high,40))/(Std($high,40)+1e-12)",-1,11,1,0.01696226765634169,0.00025232328963505,2.037771744295019,-0.05878061428666115,8.4177369568451e-05,0.012491476535738134,rejected
rnd_015,random,range,"Max($close,5)",1,3,1,0.009882591327742588,0.012097093131928168,1.5486602620157874,0.33628135919570923,0.004855369286085212,-0.03272552821725287,rejected
rnd_017,random,trend,"Sum(($close/$vwap-1),5)/(Sum(($close/$vwap-1),40)+1e-12)-1",-1,19,1,0.0019077555829055022,8.734662150003347e-05,0.11640529525959821,0.12673351168632507,0.0006351889034065662,0.00891316069652663,rejected
rnd_018,random,volatility,"((($high-$low)/$close)-Mean((($high-$low)/$close),5))/(Std((($high-$low)/$close),5)+1e-12)",1,23,3,0.005186097134161128,0.004453048849996919,0.931642807414765,0.17478594183921814,0.0014086683695144374,0.0013781182925485709,rejected
rnd_019,random,range,"Corr(Corr($open,$high,5),$low,60)",-1,7,1,0.005917001639993985,0.004606960122091814,1.4968197499232851,0.28421273827552795,0.0027910848889677407,0.0030768041749606465,rejected
rnd_020,random,range,"Max($high,60)/(Slope($close,40)+1e-12)",1,9,3,0.015778023202182703,0.0027023902384094548,2.559561653335225,0.7022606730461121,0.054146369570520325,-0.0024347530958019454,rejected
rnd_021,random,range,"Sum((($high-$low)/$close),5)/(Sum($high,40)+1e-12)",-1,13,3,0.02098214783084891,0.007653372053635,3.8404530583323147,0.45351430773735046,0.012494532613273043,-0.010270947174458915,rejected
rnd_022,random,range,"Min(Corr($vwap,(($high-$low)/$close),10),10)/(Min(Corr($vwap,(($high-$low)/$close),10),60)+1e-12)-1",1,25,3,0.025120810668156475,0.022962507283640615,5.544840540958717,1.245714545249939,0.5067569259993736,0.01893828579404116,probation
rnd_023,random,other,"Corr($open,($close/$vwap-1),20)",1,8,1,0.01126306440564321,0.011935063521050344,2.0038616914199507,0.9498701095581055,0.18429551750607487,0.005652105870807488,rejected
rnd_024,random,volatility,"Min(($close-Mean($close,60))/(Std($close,60)+1e-12),10)",-1,13,3,0.016047574876169722,-0.0001942265915770181,1.9195578714215074,-0.033652134239673615,0.00011217947061421651,0.021904008962660374,rejected
rnd_025,random,volatility,"Skew($close,60)",-1,3,1,0.02213001683812515,0.015681040955550993,3.6048685536561598,0.9620279669761658,0.2061079999175774,0.012643649445016794,probation
rnd_026,random,reversal,"EMA($vwap,20)",1,3,1,0.011163656978776167,0.012730003978991877,1.7491891445979204,0.3760536313056946,0.006768316151508018,-0.03175762144474671,rejected
rnd_027,random,volatility,"Std($volume,5)/(Min($volume,10)+1e-12)",-1,9,3,0.014013367053401756,0.010527812005730821,2.6922652223083072,0.23497693240642548,0.0020312018280416247,0.008609642634158926,rejected
rnd_029,random,volatility,"Rank($volume,40)/(Std($high,40)+1e-12)",-1,9,1,0.007750419647508975,0.004616429065256725,1.040330066643135,0.10343041270971298,0.0005083057211947369,-0.03449003164059522,rejected
rnd_030,random,range,"Delta(Corr((($high-$low)/$close),$low,60),20)",-1,10,3,0.01710665266770934,0.016517297046760054,2.985533074747584,0.8573580980300903,0.1390931608241583,0.002840796535317767,rejected
rnd_031,random,range,"Max(Min($high,10),5)/(Max(Min($high,10),20)+1e-12)-1",-1,15,1,0.009250952142167637,0.0041157393405962285,1.4287010780553588,0.37125974893569946,0.004717449087835167,0.0046793166364391525,rejected
rnd_033,random,range,"Delta($low,10)",-1,3,1,0.018538299349958178,0.004144095832400965,2.23595745440275,0.18506048619747162,0.0010791486438585822,0.00893243027949084,rejected
rnd_034,random,price_volume,"Corr($low,Log($volume+1),5)",-1,7,4,0.024895314600389896,0.019772442043150262,3.781785206605616,0.993596613407135,0.22960287863334589,0.015755890127990856,rejected
rnd_035,random,range,"Corr($high,($close/$vwap-1),5)",-1,8,1,0.004628610330741842,0.005226338040913069,0.18701918312390112,-0.0011766954557970166,0.00016122952773950193,0.001645855102502671,rejected
